semantic_class,target,seed,f1,auc_roc,top10_features,dominant_feature
DoS,ToN,45,0.894036,0.997714,TCP_WIN_MAX_IN;LONGEST_FLOW_PKT;DNS_QUERY_TYPE;MIN_TTL;DNS_TTL_ANSWER;SRC_TO_DST_AVG_THROUGHPUT;IN_BYTES;IN_PKTS;DNS_QUERY_ID;DST_TO_SRC_AVG_THROUGHPUT,TCP_WIN_MAX_IN
DoS,ToN,46,0.895786,0.997885,TCP_WIN_MAX_IN;LONGEST_FLOW_PKT;DNS_QUERY_TYPE;MIN_TTL;DNS_TTL_ANSWER;SRC_TO_DST_AVG_THROUGHPUT;SHORTEST_FLOW_PKT;IN_BYTES;DST_TO_SRC_AVG_THROUGHPUT;L4_SRC_PORT,TCP_WIN_MAX_IN
DoS,ToN,47,0.894451,0.997882,TCP_WIN_MAX_IN;LONGEST_FLOW_PKT;DNS_QUERY_TYPE;MIN_TTL;DNS_TTL_ANSWER;IN_PKTS;MIN_IP_PKT_LEN;DNS_QUERY_ID;SRC_TO_DST_AVG_THROUGHPUT;NUM_PKTS_UP_TO_128_BYTES,TCP_WIN_MAX_IN
DoS,ToN,48,0.898999,0.997818,TCP_WIN_MAX_IN;DNS_QUERY_TYPE;LONGEST_FLOW_PKT;MIN_TTL;DNS_TTL_ANSWER;SRC_TO_DST_AVG_THROUGHPUT;DST_TO_SRC_SECOND_BYTES;DNS_QUERY_ID;IN_BYTES;L4_SRC_PORT,TCP_WIN_MAX_IN
DoS,ToN,49,0.900837,0.997812,TCP_WIN_MAX_IN;DNS_QUERY_TYPE;LONGEST_FLOW_PKT;MIN_TTL;DNS_TTL_ANSWER;SRC_TO_DST_AVG_THROUGHPUT;DNS_QUERY_ID;DST_TO_SRC_SECOND_BYTES;IN_BYTES;L4_SRC_PORT,TCP_WIN_MAX_IN
DoS,ToN,50,0.900472,0.998078,TCP_WIN_MAX_IN;DNS_QUERY_TYPE;LONGEST_FLOW_PKT;MIN_TTL;DNS_TTL_ANSWER;DNS_QUERY_ID;IN_BYTES;L4_SRC_PORT;SRC_TO_DST_SECOND_BYTES;DST_TO_SRC_AVG_THROUGHPUT,TCP_WIN_MAX_IN
DoS,ToN,51,0.896427,0.99794,TCP_WIN_MAX_IN;LONGEST_FLOW_PKT;DNS_QUERY_TYPE;SRC_TO_DST_AVG_THROUGHPUT;MIN_TTL;IN_PKTS;DST_TO_SRC_AVG_THROUGHPUT;DNS_QUERY_ID;MIN_IP_PKT_LEN;L4_SRC_PORT,TCP_WIN_MAX_IN
DoS,ToN,52,0.893216,0.997809,TCP_WIN_MAX_IN;DNS_QUERY_TYPE;LONGEST_FLOW_PKT;SRC_TO_DST_AVG_THROUGHPUT;DNS_TTL_ANSWER;IN_PKTS;MIN_TTL;IN_BYTES;MIN_IP_PKT_LEN;DST_TO_SRC_AVG_THROUGHPUT,TCP_WIN_MAX_IN
DoS,ToN,53,0.894594,0.997883,TCP_WIN_MAX_IN;LONGEST_FLOW_PKT;DNS_QUERY_TYPE;IN_PKTS;MIN_TTL;SRC_TO_DST_AVG_THROUGHPUT;MIN_IP_PKT_LEN;DNS_TTL_ANSWER;DNS_QUERY_ID;DST_TO_SRC_SECOND_BYTES,TCP_WIN_MAX_IN
DoS,ToN,54,0.90447,0.997932,TCP_WIN_MAX_IN;DNS_QUERY_TYPE;LONGEST_FLOW_PKT;MIN_TTL;SRC_TO_DST_AVG_THROUGHPUT;DNS_QUERY_ID;DNS_TTL_ANSWER;IN_BYTES;L4_SRC_PORT;MIN_IP_PKT_LEN,TCP_WIN_MAX_IN
DoS,ToN,55,0.897762,0.997584,TCP_WIN_MAX_IN;DNS_QUERY_TYPE;LONGEST_FLOW_PKT;IN_PKTS;MIN_TTL;DNS_TTL_ANSWER;DNS_QUERY_ID;IN_BYTES;SRC_TO_DST_AVG_THROUGHPUT;SRC_TO_DST_SECOND_BYTES,TCP_WIN_MAX_IN
DoS,ToN,56,0.900471,0.99788,TCP_WIN_MAX_IN;LONGEST_FLOW_PKT;DNS_QUERY_TYPE;MIN_TTL;SRC_TO_DST_AVG_THROUGHPUT;DST_TO_SRC_AVG_THROUGHPUT;DNS_TTL_ANSWER;DNS_QUERY_ID;L4_SRC_PORT;IN_PKTS,TCP_WIN_MAX_IN
DoS,ToN,57,0.899452,0.997874,TCP_WIN_MAX_IN;DNS_QUERY_TYPE;LONGEST_FLOW_PKT;MIN_TTL;DNS_TTL_ANSWER;IN_PKTS;DST_TO_SRC_AVG_THROUGHPUT;DNS_QUERY_ID;SRC_TO_DST_AVG_THROUGHPUT;L4_SRC_PORT,TCP_WIN_MAX_IN
DoS,ToN,58,0.898595,0.997796,TCP_WIN_MAX_IN;LONGEST_FLOW_PKT;SRC_TO_DST_AVG_THROUGHPUT;MIN_TTL;DNS_QUERY_TYPE;IN_PKTS;DNS_TTL_ANSWER;L4_SRC_PORT;MIN_IP_PKT_LEN;DST_TO_SRC_AVG_THROUGHPUT,TCP_WIN_MAX_IN
DoS,ToN,59,0.899871,0.997737,TCP_WIN_MAX_IN;DNS_QUERY_TYPE;LONGEST_FLOW_PKT;SRC_TO_DST_AVG_THROUGHPUT;MIN_TTL;DNS_TTL_ANSWER;DNS_QUERY_ID;IN_PKTS;L4_SRC_PORT;DST_TO_SRC_AVG_THROUGHPUT,TCP_WIN_MAX_IN
DoS,ToN,60,0.901907,0.997975,TCP_WIN_MAX_IN;DNS_QUERY_TYPE;LONGEST_FLOW_PKT;SRC_TO_DST_AVG_THROUGHPUT;MIN_TTL;DNS_TTL_ANSWER;L4_SRC_PORT;DNS_QUERY_ID;NUM_PKTS_UP_TO_128_BYTES;DST_TO_SRC_AVG_THROUGHPUT,TCP_WIN_MAX_IN
DoS,ToN,61,0.898899,0.997904,TCP_WIN_MAX_IN;DNS_QUERY_TYPE;LONGEST_FLOW_PKT;MIN_TTL;IN_PKTS;SRC_TO_DST_AVG_THROUGHPUT;DNS_TTL_ANSWER;DST_TO_SRC_AVG_THROUGHPUT;L4_SRC_PORT;DNS_QUERY_ID,TCP_WIN_MAX_IN
DoS,ToN,62,0.894987,0.997951,TCP_WIN_MAX_IN;DNS_QUERY_TYPE;LONGEST_FLOW_PKT;DNS_TTL_ANSWER;MIN_TTL;IN_PKTS;OUT_BYTES;SRC_TO_DST_AVG_THROUGHPUT;DNS_QUERY_ID;MIN_IP_PKT_LEN,TCP_WIN_MAX_IN
DoS,ToN,63,0.898126,0.997704,TCP_WIN_MAX_IN;DNS_QUERY_TYPE;LONGEST_FLOW_PKT;MIN_TTL;DNS_TTL_ANSWER;SRC_TO_DST_AVG_THROUGHPUT;IN_PKTS;DNS_QUERY_ID;L4_SRC_PORT;DST_TO_SRC_AVG_THROUGHPUT,TCP_WIN_MAX_IN
DoS,ToN,64,0.898309,0.997828,TCP_WIN_MAX_IN;LONGEST_FLOW_PKT;DNS_QUERY_TYPE;MIN_TTL;SRC_TO_DST_AVG_THROUGHPUT;DNS_TTL_ANSWER;DNS_QUERY_ID;IN_PKTS;L4_SRC_PORT;SHORTEST_FLOW_PKT,TCP_WIN_MAX_IN
DoS,ToN,65,0.900485,0.997875,TCP_WIN_MAX_IN;LONGEST_FLOW_PKT;DNS_QUERY_TYPE;MIN_TTL;DNS_TTL_ANSWER;DNS_QUERY_ID;IN_PKTS;DST_TO_SRC_AVG_THROUGHPUT;L4_SRC_PORT;MAX_TTL,TCP_WIN_MAX_IN
DoS,ToN,66,0.897787,0.99794,TCP_WIN_MAX_IN;LONGEST_FLOW_PKT;DNS_QUERY_TYPE;MIN_TTL;DNS_TTL_ANSWER;IN_PKTS;SRC_TO_DST_AVG_THROUGHPUT;DST_TO_SRC_AVG_THROUGHPUT;L4_SRC_PORT;MIN_IP_PKT_LEN,TCP_WIN_MAX_IN
DoS,ToN,67,0.900282,0.997881,TCP_WIN_MAX_IN;LONGEST_FLOW_PKT;DNS_QUERY_TYPE;MIN_TTL;DNS_TTL_ANSWER;IN_PKTS;DNS_QUERY_ID;SRC_TO_DST_AVG_THROUGHPUT;L4_SRC_PORT;DST_TO_SRC_AVG_THROUGHPUT,TCP_WIN_MAX_IN
DoS,ToN,68,0.891754,0.997671,TCP_WIN_MAX_IN;DNS_QUERY_TYPE;LONGEST_FLOW_PKT;MIN_TTL;DNS_TTL_ANSWER;IN_PKTS;SRC_TO_DST_AVG_THROUGHPUT;SHORTEST_FLOW_PKT;DNS_QUERY_ID;OUT_BYTES,TCP_WIN_MAX_IN
DoS,ToN,69,0.899696,0.997855,TCP_WIN_MAX_IN;LONGEST_FLOW_PKT;DNS_QUERY_TYPE;DNS_TTL_ANSWER;MIN_TTL;SRC_TO_DST_AVG_THROUGHPUT;DNS_QUERY_ID;L4_SRC_PORT;NUM_PKTS_UP_TO_128_BYTES;SHORTEST_FLOW_PKT,TCP_WIN_MAX_IN
