semantic_class,target,seed,n_test_pos_used,top10_features,dominant_feature
DoS,CIC,67,3000,DURATION_OUT;MAX_TTL;MIN_TTL;L7_PROTO;TCP_WIN_MAX_IN;SHORTEST_FLOW_PKT;L4_DST_PORT;TCP_FLAGS;DURATION_IN;L4_SRC_PORT,DURATION_OUT
DoS,CIC,68,3000,DURATION_OUT;MIN_TTL;MAX_TTL;TCP_WIN_MAX_IN;L7_PROTO;L4_DST_PORT;SHORTEST_FLOW_PKT;DURATION_IN;FLOW_DURATION_MILLISECONDS;L4_SRC_PORT,DURATION_OUT
DoS,CIC,69,3000,DURATION_OUT;MAX_TTL;MIN_TTL;L7_PROTO;L4_DST_PORT;DURATION_IN;TCP_WIN_MAX_IN;FLOW_DURATION_MILLISECONDS;SHORTEST_FLOW_PKT;NUM_PKTS_256_TO_512_BYTES,DURATION_OUT
DoS,CIC,70,3000,DURATION_OUT;MIN_TTL;MAX_TTL;TCP_WIN_MAX_IN;L4_DST_PORT;L7_PROTO;FLOW_DURATION_MILLISECONDS;SHORTEST_FLOW_PKT;DURATION_IN;L4_SRC_PORT,DURATION_OUT
DoS,CIC,71,3000,DURATION_OUT;MAX_TTL;MIN_TTL;L7_PROTO;SHORTEST_FLOW_PKT;TCP_WIN_MAX_IN;DURATION_IN;L4_DST_PORT;L4_SRC_PORT;FLOW_DURATION_MILLISECONDS,DURATION_OUT
DoS,ToN,42,3000,TCP_WIN_MAX_IN;DNS_QUERY_TYPE;LONGEST_FLOW_PKT;MIN_TTL;DNS_TTL_ANSWER;SRC_TO_DST_AVG_THROUGHPUT;L4_SRC_PORT;IN_BYTES;DNS_QUERY_ID;DST_TO_SRC_AVG_THROUGHPUT,TCP_WIN_MAX_IN
DoS,ToN,43,3000,TCP_WIN_MAX_IN;DNS_QUERY_TYPE;LONGEST_FLOW_PKT;MIN_TTL;DNS_TTL_ANSWER;DST_TO_SRC_AVG_THROUGHPUT;L4_SRC_PORT;MIN_IP_PKT_LEN;SRC_TO_DST_AVG_THROUGHPUT;DNS_QUERY_ID,TCP_WIN_MAX_IN
DoS,ToN,44,3000,TCP_WIN_MAX_IN;DNS_QUERY_TYPE;LONGEST_FLOW_PKT;DNS_TTL_ANSWER;IN_PKTS;MIN_TTL;SRC_TO_DST_AVG_THROUGHPUT;DST_TO_SRC_AVG_THROUGHPUT;SRC_TO_DST_SECOND_BYTES;DNS_QUERY_ID,TCP_WIN_MAX_IN
DoS,ToN,45,3000,TCP_WIN_MAX_IN;LONGEST_FLOW_PKT;DNS_QUERY_TYPE;MIN_TTL;DNS_TTL_ANSWER;SRC_TO_DST_AVG_THROUGHPUT;DNS_QUERY_ID;IN_PKTS;IN_BYTES;DST_TO_SRC_AVG_THROUGHPUT,TCP_WIN_MAX_IN
DoS,ToN,46,3000,TCP_WIN_MAX_IN;LONGEST_FLOW_PKT;DNS_QUERY_TYPE;MIN_TTL;DNS_TTL_ANSWER;SRC_TO_DST_AVG_THROUGHPUT;DST_TO_SRC_AVG_THROUGHPUT;SHORTEST_FLOW_PKT;IN_BYTES;L4_SRC_PORT,TCP_WIN_MAX_IN
DoS,ToN,47,3000,TCP_WIN_MAX_IN;LONGEST_FLOW_PKT;DNS_QUERY_TYPE;MIN_TTL;DNS_TTL_ANSWER;IN_PKTS;MIN_IP_PKT_LEN;DNS_QUERY_ID;L4_SRC_PORT;NUM_PKTS_UP_TO_128_BYTES,TCP_WIN_MAX_IN
