semantic_class,target,source,condition,env_same,seed,f1,auc_roc
DoS,CIC,ToN,SHAP-10,False,53,0.999334,0.999997
DoS,CIC,BoT,SHAP-10,False,53,0.99925,0.999999
DoS,CIC,Random,Random-10,True,53,0.996264,0.999998
DoS,CIC,—,Full-40,True,54,0.999917,1.0
DoS,CIC,CIC,Target-10,True,54,1.0,1.0
DoS,CIC,UNSW,SHAP-10,True,54,0.999917,1.0
DoS,CIC,ToN,SHAP-10,False,54,0.999084,0.999999
DoS,CIC,BoT,SHAP-10,False,54,0.999084,0.999999
DoS,CIC,Random,Random-10,True,54,0.998252,0.999998
DoS,CIC,—,Full-40,True,55,1.0,1.0
DoS,CIC,CIC,Target-10,True,55,1.0,1.0
DoS,CIC,UNSW,SHAP-10,True,55,1.0,1.0
DoS,CIC,ToN,SHAP-10,False,55,0.99975,1.0
DoS,CIC,BoT,SHAP-10,False,55,0.9995,0.999999
DoS,CIC,Random,Random-10,True,55,0.997755,0.999998
DoS,CIC,—,Full-40,True,56,1.0,1.0
DoS,CIC,CIC,Target-10,True,56,0.999833,1.0
DoS,CIC,UNSW,SHAP-10,True,56,0.999917,1.0
DoS,CIC,ToN,SHAP-10,False,56,0.999167,0.999999
DoS,CIC,BoT,SHAP-10,False,56,0.999084,0.999999
DoS,CIC,Random,Random-10,True,56,0.998834,0.999999
DoS,CIC,—,Full-40,True,57,1.0,1.0
DoS,CIC,CIC,Target-10,True,57,0.999833,1.0
DoS,CIC,UNSW,SHAP-10,True,57,0.999833,1.0
DoS,CIC,ToN,SHAP-10,False,57,0.999251,0.999999
DoS,CIC,BoT,SHAP-10,False,57,0.999167,0.999999
DoS,CIC,Random,Random-10,True,57,0.995103,0.999982
DoS,CIC,—,Full-40,True,58,0.999917,1.0
DoS,CIC,CIC,Target-10,True,58,0.999833,1.0
DoS,CIC,UNSW,SHAP-10,True,58,0.999917,1.0
DoS,CIC,ToN,SHAP-10,False,58,0.999167,0.999999
DoS,CIC,BoT,SHAP-10,False,58,0.998834,0.999999
DoS,CIC,Random,Random-10,True,58,0.998004,0.999998
DoS,CIC,—,Full-40,True,59,1.0,1.0
DoS,CIC,CIC,Target-10,True,59,1.0,1.0
DoS,CIC,UNSW,SHAP-10,True,59,1.0,1.0
